match_id,case_id,activity,timestamp,resource,team,period,minute,second,possession,x,y
266148,266148-1,Starting XI,00:00:00.000,,Barcelona,1,0,0,1,,
266148,266148-1,Starting XI,00:00:00.000,,Málaga,1,0,0,1,,
266148,266148-1,Half Start,00:00:00.000,,Barcelona,1,0,0,1,,
266148,266148-1,Half Start,00:00:00.000,,Málaga,1,0,0,1,,
266148,266148-2,Pass,00:00:00.206,Juan Miguel Jiménez López,Málaga,1,0,0,2,61.0,40.1
266148,266148-2,Ball Receipt*,00:00:00.591,Samuel García Sánchez,Málaga,1,0,0,2,60.1,37.9
266148,266148-2,Carry,00:00:00.591,Samuel García Sánchez,Málaga,1,0,0,2,60.1,37.9
266148,266148-2,Pass,00:00:00.874,Samuel García Sánchez,Málaga,1,0,0,2,60.7,38.8
266148,266148-2,Ball Receipt*,00:00:02.267,José Luis García del Pozo,Málaga,1,0,2,2,43.3,31.2
266148,266148-2,Carry,00:00:02.267,José Luis García del Pozo,Málaga,1,0,2,2,43.3,31.2
266148,266148-2,Pass,00:00:03.346,José Luis García del Pozo,Málaga,1,0,3,2,41.6,30.1
266148,266148-2,Ball Receipt*,00:00:04.873,Weligton Róbson Pena de Oliveira,Málaga,1,0,4,2,29.4,31.0
266148,266148-2,Carry,00:00:04.873,Weligton Róbson Pena de Oliveira,Málaga,1,0,4,2,29.4,31.0
266148,266148-2,Pressure,00:00:06.716,Rafael Alcântara do Nascimento,Barcelona,1,0,6,2,90.3,53.1
266148,266148-2,Pass,00:00:06.833,Weligton Róbson Pena de Oliveira,Málaga,1,0,6,2,24.8,26.2
266148,266148-2,Ball Receipt*,00:00:08.247,Miguel Torres Gómez,Málaga,1,0,8,2,30.7,7.5
266148,266148-2,Carry,00:00:08.247,Miguel Torres Gómez,Málaga,1,0,8,2,30.7,7.5
266148,266148-2,Pressure,00:00:08.509,Lionel Andrés Messi Cuccittini,Barcelona,1,0,8,2,86.7,72.4
266148,266148-2,Pass,00:00:09.036,Miguel Torres Gómez,Málaga,1,0,9,2,30.3,6.0
266148,266148-2,Pressure,00:00:09.764,Daniel Alves da Silva,Barcelona,1,0,9,2,68.8,71.8
266148,266148-2,Ball Receipt*,00:00:10.148,Samuel Castillejo Azuaga,Málaga,1,0,10,2,47.3,7.2
266148,266148-2,Carry,00:00:10.148,Samuel Castillejo Azuaga,Málaga,1,0,10,2,47.3,7.2
266148,266148-2,Dispossessed,00:00:10.158,Samuel Castillejo Azuaga,Málaga,1,0,10,2,48.8,7.5
266148,266148-2,Duel,00:00:10.158,Daniel Alves da Silva,Barcelona,1,0,10,2,71.3,72.6
266148,266148-3,Pass,00:00:21.766,Miguel Torres Gómez,Málaga,1,0,21,3,49.4,0.1
266148,266148-3,Ball Receipt*,00:00:23.373,Juan Miguel Jiménez López,Málaga,1,0,23,3,70.0,16.5
266148,266148-3,Carry,00:00:23.373,Juan Miguel Jiménez López,Málaga,1,0,23,3,70.0,16.5
266148,266148-3,Pass,00:00:24.412,Juan Miguel Jiménez López,Málaga,1,0,24,3,67.5,19.9
