match_id,case_id,activity,timestamp,resource,team,period,minute,second,possession,zone,finalize_in_goal,match_won
266117,266117-2,Pass,00:00:01.577,Neymar da Silva Santos Junior,Barcelona,1,0,1,2,Attacking 3/4,False,True
266117,266117-2,Ball Receipt*,00:00:01.926,Lionel Andrés Messi Cuccittini,Barcelona,1,0,1,2,Midfield Zone,False,True
266117,266117-2,Carry,00:00:01.926,Lionel Andrés Messi Cuccittini,Barcelona,1,0,1,2,Midfield Zone,False,True
266117,266117-2,Pass,00:00:02.816,Lionel Andrés Messi Cuccittini,Barcelona,1,0,2,2,Midfield Zone,False,True
266117,266117-2,Ball Receipt*,00:00:03.687,Sergio Busquets i Burgos,Barcelona,1,0,3,2,Midfield Zone,False,True
266117,266117-2,Carry,00:00:03.687,Sergio Busquets i Burgos,Barcelona,1,0,3,2,Midfield Zone,False,True
266117,266117-2,Pass,00:00:04.649,Sergio Busquets i Burgos,Barcelona,1,0,4,2,Midfield Zone,False,True
266117,266117-2,Ball Receipt*,00:00:05.809,Adriano Correia Claro,Barcelona,1,0,5,2,Midfield Zone,False,True
266117,266117-2,Carry,00:00:05.809,Adriano Correia Claro,Barcelona,1,0,5,2,Midfield Zone,False,True
266117,266117-2,Pass,00:00:07.728,Adriano Correia Claro,Barcelona,1,0,7,2,Midfield Zone,False,True
266117,266117-2,Ball Receipt*,00:00:08.786,Sergio Busquets i Burgos,Barcelona,1,0,8,2,Midfield Zone,False,True
266117,266117-2,Carry,00:00:08.786,Sergio Busquets i Burgos,Barcelona,1,0,8,2,Midfield Zone,False,True
266117,266117-2,Pass,00:00:10.345,Sergio Busquets i Burgos,Barcelona,1,0,10,2,Midfield Zone,False,True
266117,266117-2,Ball Receipt*,00:00:11.805,Javier Alejandro Mascherano,Barcelona,1,0,11,2,Midfield Zone,False,True
266117,266117-2,Carry,00:00:11.805,Javier Alejandro Mascherano,Barcelona,1,0,11,2,Midfield Zone,False,True
266117,266117-2,Pass,00:00:13.143,Javier Alejandro Mascherano,Barcelona,1,0,13,2,Midfield Zone,False,True
266117,266117-2,Ball Receipt*,00:00:14.823,Jérémy Mathieu,Barcelona,1,0,14,2,Midfield Zone,False,True
266117,266117-2,Carry,00:00:14.823,Jérémy Mathieu,Barcelona,1,0,14,2,Midfield Zone,False,True
266117,266117-2,Pass,00:00:16.714,Jérémy Mathieu,Barcelona,1,0,16,2,Midfield Zone,False,True
266117,266117-2,Ball Receipt*,00:00:18.122,Adriano Correia Claro,Barcelona,1,0,18,2,Attacking 3/4,False,True
266117,266117-2,Carry,00:00:18.122,Adriano Correia Claro,Barcelona,1,0,18,2,Attacking 3/4,False,True
266117,266117-2,Pass,00:00:19.339,Adriano Correia Claro,Barcelona,1,0,19,2,Attacking 3/4,False,True
266117,266117-2,Ball Receipt*,00:00:21.615,Jérémy Mathieu,Barcelona,1,0,21,2,Midfield Zone,False,True
266117,266117-2,Carry,00:00:21.615,Jérémy Mathieu,Barcelona,1,0,21,2,Midfield Zone,False,True
266117,266117-2,Pass,00:00:21.655,Jérémy Mathieu,Barcelona,1,0,21,2,Midfield Zone,False,True
266117,266117-2,Ball Receipt*,00:00:22.690,Sergio Busquets i Burgos,Barcelona,1,0,22,2,Midfield Zone,False,True
266117,266117-2,Carry,00:00:22.690,Sergio Busquets i Burgos,Barcelona,1,0,22,2,Midfield Zone,False,True
266117,266117-2,Pass,00:00:24.415,Sergio Busquets i Burgos,Barcelona,1,0,24,2,Midfield Zone,False,True
