match_id,case_id,activity,timestamp,resource,team,period,minute,second,possession,zone,finalize_in_goal,match_won,possession_type
70273,70273-2,Pass,00:00:00.782,Lionel Andrés Messi Cuccittini,Barcelona,1,0,0,2,Attacking 3/4,False,True,Long Buildup
70273,70273-2,Ball Receipt*,00:00:01.595,Ivan Rakitić,Barcelona,1,0,1,2,Attacking 3/4,False,True,Long Buildup
70273,70273-2,Carry,00:00:01.595,Ivan Rakitić,Barcelona,1,0,1,2,Attacking 3/4,False,True,Long Buildup
70273,70273-2,Pass,00:00:01.655,Ivan Rakitić,Barcelona,1,0,1,2,Attacking 3/4,False,True,Long Buildup
70273,70273-2,Ball Receipt*,00:00:02.587,Sergio Busquets i Burgos,Barcelona,1,0,2,2,Midfield Zone,False,True,Long Buildup
70273,70273-2,Carry,00:00:02.587,Sergio Busquets i Burgos,Barcelona,1,0,2,2,Midfield Zone,False,True,Long Buildup
70273,70273-2,Pass,00:00:04.014,Sergio Busquets i Burgos,Barcelona,1,0,4,2,Midfield Zone,False,True,Long Buildup
70273,70273-2,Ball Receipt*,00:00:05.270,Jérémy Mathieu,Barcelona,1,0,5,2,Own Half,False,True,Long Buildup
70273,70273-2,Carry,00:00:05.270,Jérémy Mathieu,Barcelona,1,0,5,2,Own Half,False,True,Long Buildup
70273,70273-2,Pass,00:00:05.964,Jérémy Mathieu,Barcelona,1,0,5,2,Own Half,False,True,Long Buildup
70273,70273-2,Ball Receipt*,00:00:07.695,Javier Alejandro Mascherano,Barcelona,1,0,7,2,Own Half,False,True,Long Buildup
70273,70273-2,Carry,00:00:07.695,Javier Alejandro Mascherano,Barcelona,1,0,7,2,Own Half,False,True,Long Buildup
70273,70273-2,Pass,00:00:08.591,Javier Alejandro Mascherano,Barcelona,1,0,8,2,Own Half,False,True,Long Buildup
70273,70273-2,Ball Receipt*,00:00:10.198,Martín Montoya Torralbo,Barcelona,1,0,10,2,Own Half,False,True,Long Buildup
70273,70273-2,Carry,00:00:10.198,Martín Montoya Torralbo,Barcelona,1,0,10,2,Own Half,False,True,Long Buildup
70273,70273-2,Pass,00:00:11.341,Martín Montoya Torralbo,Barcelona,1,0,11,2,Own Half,False,True,Long Buildup
70273,70273-2,Ball Receipt*,00:00:14.099,Claudio Andrés Bravo Muñoz,Barcelona,1,0,14,2,Own Penalty Area,False,True,Long Buildup
70273,70273-2,Carry,00:00:14.099,Claudio Andrés Bravo Muñoz,Barcelona,1,0,14,2,Own Penalty Area,False,True,Long Buildup
70273,70273-2,Pass,00:00:14.219,Claudio Andrés Bravo Muñoz,Barcelona,1,0,14,2,Own Penalty Area,False,True,Long Buildup
70273,70273-2,Ball Receipt*,00:00:17.763,Martín Montoya Torralbo,Barcelona,1,0,17,2,Own Half,False,True,Long Buildup
70273,70273-2,Pass,00:00:17.803,Martín Montoya Torralbo,Barcelona,1,0,17,2,Own Half,False,True,Long Buildup
70273,70273-2,Ball Receipt*,00:00:19.683,Ivan Rakitić,Barcelona,1,0,19,2,Midfield Zone,False,True,Long Buildup
70273,70273-3,Pressure,00:00:30.721,Martín Montoya Torralbo,Barcelona,1,0,30,3,Midfield Zone,False,True,Long Buildup
70273,70273-3,Pressure,00:00:33.782,Lionel Andrés Messi Cuccittini,Barcelona,1,0,33,3,Attacking 3/4,False,True,Long Buildup
70273,70273-3,Pass,00:00:45.678,Jérémy Mathieu,Barcelona,1,0,45,3,Midfield Zone,False,True,Long Buildup
70273,70273-3,Ball Receipt*,00:00:47.612,Munir El Haddadi Mohamed,Barcelona,1,0,47,3,Midfield Zone,False,True,Long Buildup
70273,70273-3,Carry,00:00:47.612,Munir El Haddadi Mohamed,Barcelona,1,0,47,3,Midfield Zone,False,True,Long Buildup
