match_id,case_id,activity,timestamp,resource,team,period,minute,second,possession,x,y,finalize_in_goal,match_won
265963,265963-1,Starting XI,00:00:00.000,,Barcelona,1,0,0,1,,,False,True
265963,265963-1,Half Start,00:00:00.000,,Barcelona,1,0,0,1,,,False,True
265963,265963-2,Pass,00:00:00.100,Luis Alberto Suárez Díaz,Barcelona,1,0,0,2,60.0,40.0,False,True
265963,265963-2,Ball Receipt*,00:00:00.557,Lionel Andrés Messi Cuccittini,Barcelona,1,0,0,2,60.2,36.1,False,True
265963,265963-2,Pass,00:00:00.557,Lionel Andrés Messi Cuccittini,Barcelona,1,0,0,2,59.2,36.3,False,True
265963,265963-2,Ball Receipt*,00:00:01.851,Sergio Busquets i Burgos,Barcelona,1,0,1,2,47.4,42.2,False,True
265963,265963-2,Carry,00:00:01.851,Sergio Busquets i Burgos,Barcelona,1,0,1,2,47.4,42.2,False,True
265963,265963-2,Pass,00:00:03.024,Sergio Busquets i Burgos,Barcelona,1,0,3,2,47.4,39.6,False,True
265963,265963-2,Ball Receipt*,00:00:05.647,Adriano Correia Claro,Barcelona,1,0,5,2,49.1,10.6,False,True
265963,265963-2,Carry,00:00:05.647,Adriano Correia Claro,Barcelona,1,0,5,2,49.1,10.6,False,True
265963,265963-2,Pass,00:00:06.062,Adriano Correia Claro,Barcelona,1,0,6,2,49.1,10.6,False,True
265963,265963-2,Ball Receipt*,00:00:07.216,Neymar da Silva Santos Junior,Barcelona,1,0,7,2,55.9,5.0,False,True
265963,265963-2,Pass,00:00:07.216,Neymar da Silva Santos Junior,Barcelona,1,0,7,2,55.9,5.0,False,True
265963,265963-2,Ball Receipt*,00:00:09.671,Jérémy Mathieu,Barcelona,1,0,9,2,44.3,13.3,False,True
265963,265963-2,Carry,00:00:09.671,Jérémy Mathieu,Barcelona,1,0,9,2,44.3,13.3,False,True
265963,265963-2,Pass,00:00:10.511,Jérémy Mathieu,Barcelona,1,0,10,2,44.3,14.0,False,True
265963,265963-2,Ball Receipt*,00:00:12.217,Marc Bartra Aregall,Barcelona,1,0,12,2,39.5,53.5,False,True
265963,265963-2,Carry,00:00:12.217,Marc Bartra Aregall,Barcelona,1,0,12,2,39.5,53.5,False,True
265963,265963-2,Pass,00:00:13.255,Marc Bartra Aregall,Barcelona,1,0,13,2,40.7,54.0,False,True
265963,265963-2,Ball Receipt*,00:00:14.298,Daniel Alves da Silva,Barcelona,1,0,14,2,49.8,66.8,False,True
