match_id,case_id,activity,timestamp,resource,team,period,minute,second,possession,zone,finalize_in_goal,match_won,possession_type
266045,266045-2,Pass,00:00:00.640,Luis Alberto Suárez Díaz,Barcelona,1,0,0,2,Attacking 3/4,False,True,Long Buildup
266045,266045-2,Ball Receipt*,00:00:00.777,Lionel Andrés Messi Cuccittini,Barcelona,1,0,0,2,Midfield Zone,False,True,Long Buildup
266045,266045-2,Carry,00:00:00.777,Lionel Andrés Messi Cuccittini,Barcelona,1,0,0,2,Midfield Zone,False,True,Long Buildup
266045,266045-2,Pass,00:00:01.012,Lionel Andrés Messi Cuccittini,Barcelona,1,0,1,2,Midfield Zone,False,True,Long Buildup
266045,266045-2,Ball Receipt*,00:00:02.169,Javier Alejandro Mascherano,Barcelona,1,0,2,2,Midfield Zone,False,True,Long Buildup
266045,266045-2,Carry,00:00:02.169,Javier Alejandro Mascherano,Barcelona,1,0,2,2,Midfield Zone,False,True,Long Buildup
266045,266045-2,Pass,00:00:03.426,Javier Alejandro Mascherano,Barcelona,1,0,3,2,Midfield Zone,False,True,Long Buildup
266045,266045-2,Ball Receipt*,00:00:05.053,Adriano Correia Claro,Barcelona,1,0,5,2,Midfield Zone,False,True,Long Buildup
266045,266045-2,Carry,00:00:05.053,Adriano Correia Claro,Barcelona,1,0,5,2,Midfield Zone,False,True,Long Buildup
266045,266045-2,Pass,00:00:05.986,Adriano Correia Claro,Barcelona,1,0,5,2,Midfield Zone,False,True,Long Buildup
266045,266045-2,Ball Receipt*,00:00:07.585,Marc Bartra Aregall,Barcelona,1,0,7,2,Own Half,False,True,Long Buildup
266045,266045-2,Carry,00:00:07.585,Marc Bartra Aregall,Barcelona,1,0,7,2,Own Half,False,True,Long Buildup
266045,266045-2,Pass,00:00:09.773,Marc Bartra Aregall,Barcelona,1,0,9,2,Own Half,False,True,Long Buildup
266045,266045-2,Ball Receipt*,00:00:11.402,Gerard Piqué Bernabéu,Barcelona,1,0,11,2,Midfield Zone,False,True,Long Buildup
266045,266045-2,Carry,00:00:11.402,Gerard Piqué Bernabéu,Barcelona,1,0,11,2,Midfield Zone,False,True,Long Buildup
266045,266045-2,Pass,00:00:13.067,Gerard Piqué Bernabéu,Barcelona,1,0,13,2,Midfield Zone,False,True,Long Buildup
266045,266045-2,Ball Receipt*,00:00:15.029,Marc Bartra Aregall,Barcelona,1,0,15,2,Midfield Zone,False,True,Long Buildup
266045,266045-2,Carry,00:00:15.029,Marc Bartra Aregall,Barcelona,1,0,15,2,Midfield Zone,False,True,Long Buildup
266045,266045-2,Pass,00:00:15.429,Marc Bartra Aregall,Barcelona,1,0,15,2,Midfield Zone,False,True,Long Buildup
266045,266045-2,Ball Receipt*,00:00:16.567,Adriano Correia Claro,Barcelona,1,0,16,2,Midfield Zone,False,True,Long Buildup
266045,266045-2,Carry,00:00:16.567,Adriano Correia Claro,Barcelona,1,0,16,2,Midfield Zone,False,True,Long Buildup
266045,266045-2,Pass,00:00:17.625,Adriano Correia Claro,Barcelona,1,0,17,2,Own Half,False,True,Long Buildup
266045,266045-2,Ball Receipt*,00:00:20.046,Claudio Andrés Bravo Muñoz,Barcelona,1,0,20,2,Own Penalty Area,False,True,Long Buildup
266045,266045-2,Carry,00:00:20.046,Claudio Andrés Bravo Muñoz,Barcelona,1,0,20,2,Own Penalty Area,False,True,Long Buildup
266045,266045-2,Pass,00:00:22.805,Claudio Andrés Bravo Muñoz,Barcelona,1,0,22,2,Own Penalty Area,False,True,Long Buildup
