match_id,case_id,activity,timestamp,resource,team,period,minute,second,possession,x,y
266794,266794-1,Starting XI,00:00:00.000,,Elche,1,0,0,1,,
266794,266794-1,Starting XI,00:00:00.000,,Barcelona,1,0,0,1,,
266794,266794-1,Half Start,00:00:00.000,,Elche,1,0,0,1,,
266794,266794-1,Half Start,00:00:00.000,,Barcelona,1,0,0,1,,
266794,266794-2,Pass,00:00:00.570,Jonathas Cristian de Jesus,Elche,1,0,0,2,60.0,40.0
266794,266794-2,Ball Receipt*,00:00:01.193,Fayçal Fajr,Elche,1,0,1,2,58.6,38.4
266794,266794-2,Pass,00:00:01.193,Fayçal Fajr,Elche,1,0,1,2,57.4,37.2
266794,266794-2,Ball Receipt*,00:00:02.790,Adrián González Morales,Elche,1,0,2,2,46.4,40.9
266794,266794-2,Carry,00:00:02.790,Adrián González Morales,Elche,1,0,2,2,46.4,40.9
266794,266794-2,Pass,00:00:03.647,Adrián González Morales,Elche,1,0,3,2,44.7,43.3
266794,266794-2,Ball Receipt*,00:00:05.192,Damián Nicolás Suárez Suárez,Elche,1,0,5,2,49.2,75.6
266794,266794-2,Carry,00:00:05.192,Damián Nicolás Suárez Suárez,Elche,1,0,5,2,49.2,75.6
266794,266794-2,Pressure,00:00:05.292,Neymar da Silva Santos Junior,Barcelona,1,0,5,2,68.0,13.3
266794,266794-2,Pass,00:00:06.436,Damián Nicolás Suárez Suárez,Elche,1,0,6,2,51.5,73.1
266794,266794-2,Ball Receipt*,00:00:08.184,Jonathas Cristian de Jesus,Elche,1,0,8,2,86.6,58.2
266794,266794-2,Clearance,00:00:08.184,Marc Bartra Aregall,Barcelona,1,0,8,2,37.2,17.2
266794,266794-2,Pass,00:00:10.325,Adrián González Morales,Elche,1,0,10,2,54.7,51.5
266794,266794-2,Ball Receipt*,00:00:12.386,Jonathas Cristian de Jesus,Elche,1,0,12,2,78.4,43.1
266794,266794-2,Pass,00:00:12.386,Gerard Piqué Bernabéu,Barcelona,1,0,12,2,43.7,39.4
